rooms,avg_purchase_price,avg_rent_price,avg_purchase_price_per_sqm,avg_rent_price_per_sqm,estimated_gross_yield,sample_size_buy,sample_size_rent
1.0,2100000.0,3735.7143,63636.36,129.45,0.0213,1,7
2.0,2569642.8571,6765.625,50222.7707,126.8312,0.0316,14,16
2.5,3535000.0,8200.0,45666.665,99.15,0.0278,2,4
3.0,3760000.0,7800.0,47390.8255,95.25,0.0249,11,11
4.0,5790000.0,1903366.6667,55780.705,20053.1367,3.9448,2,3
5.0,7163333.3333,9662.0,46825.86,,0.0162,3,1
