rooms,avg_purchase_price,avg_rent_price,avg_purchase_price_per_sqm,avg_rent_price_per_sqm,estimated_gross_yield,sample_size_buy,sample_size_rent
3.0,2802125.0,304402.0,34217.41,4008.943,1.3036,8,10
3.5,2640000.0,6025.0,23310.635,66.18,0.0274,2,2
4.0,3704636.3636,6880.0,32463.217,66.3027,0.0223,11,15
4.5,2750000.0,6500.0,23913.04,65.0,0.0284,1,1
5.0,4971249.875,10000.0,27724.1688,78.74,0.0241,8,1
