rooms,avg_purchase_price,avg_rent_price,avg_purchase_price_per_sqm,avg_rent_price_per_sqm,estimated_gross_yield,sample_size_buy,sample_size_rent
2.0,4228750.0,7962.5,79787.74,143.595,0.0226,1,8
3.0,6287800.0,12475.0,73563.764,127.101,0.0238,5,10
3.5,18500000.0,17500.0,85253.46,92.105,0.0114,1,2
4.0,8013750.0,1162200.0,57578.6314,12113.898,1.7403,8,5
4.5,14500000.0,14000.0,91772.15,463.03,0.0116,1,2
5.0,27580000.0,33040.5,97737.254,168.7767,0.0144,5,4
6.0,16500000.0,42400.0,76052.3,146.37,0.0308,3,2
7.0,36070000.0,85000.0,81899.7575,163.46,0.0283,4,1
