rooms,avg_purchase_price,avg_rent_price,avg_purchase_price_per_sqm,avg_rent_price_per_sqm,estimated_gross_yield,sample_size_buy,sample_size_rent
3.0,2517500.0,4400.0,30084.025,76.3267,0.021,4,3
4.0,2663750.0,4666.6667,19978.695,39.4433,0.021,8,3
5.0,3836250.0,10650.0,14177.7,77.74,0.0333,4,1
5.5,2497500.0,12200.0,18308.87,31.77,0.0586,4,1
6.0,3608333.3333,4300000.0,17672.785,26380.37,14.3002,6,1
