rooms,avg_rent_price,min_rent_price,max_rent_price,median_rent_price,count_rent
1.0,2675.0,2400.0,3000.0,2650.0,4
1.5,2900.0,2900.0,2900.0,2900.0,1
2.0,3350.0,1000.0,4500.0,3500.0,10
2.5,3400.0,3400.0,3400.0,3400.0,1
3.0,4400.0,4000.0,4700.0,4500.0,3
4.0,4666.67,3800.0,6000.0,4200.0,3
5.0,10650.0,10650.0,10650.0,10650.0,1
5.5,12200.0,12200.0,12200.0,12200.0,1
6.0,4300000.0,4300000.0,4300000.0,4300000.0,1
