rooms,avg_rent_price,min_rent_price,max_rent_price,median_rent_price,count_rent
1.0,1890.0,1890.0,1890.0,1890.0,1
4.0,8542.86,3500.0,10700.0,8800.0,7
5.0,431427.14,8230.0,5900000.0,10800.0,14
6.0,16375.0,14250.0,18000.0,16500.0,6
