rooms,avg_sale_price,min_sale_price,max_sale_price,median_sale_price,count_sale
3.0,2999000.0,2999000.0,2999000.0,2999000.0,1
4.0,3660312.5,2990000.0,4700000.0,3625000.0,16
5.0,4732857.14,4220000.0,5900000.0,4515000.0,14
6.0,6333333.33,4980000.0,8900000.0,5995000.0,6
