rooms,avg_purchase_price,avg_rent_price,avg_purchase_price_per_sqm,avg_rent_price_per_sqm,estimated_gross_yield,sample_size_buy,sample_size_rent
1.0,1890000.0,5000.0,59062.5,227.27,0.0317,1,1
1.5,3650000.0,3166.6667,91250.0,97.7767,0.0104,1,3
2.0,3053000.0,8100.5556,64674.5544,148.2039,0.0318,9,18
2.5,3835714.2857,7525.0,56767.2557,134.4425,0.0235,7,4
3.0,4433333.2222,9336.3636,54668.1856,118.3136,0.0253,9,11
3.5,5330000.0,11750.0,59550.1567,139.235,0.0265,3,2
4.0,8875625.0,14875.0,353986.4913,136.955,0.0201,8,4
5.0,23750000.0,17220.6667,82718.9733,127.385,0.0087,3,3
