rooms,avg_purchase_price,avg_rent_price,avg_purchase_price_per_sqm,avg_rent_price_per_sqm,estimated_gross_yield,sample_size_buy,sample_size_rent
2.0,3272500.0,12000.0,54796.31,203.39,0.044,4,1
3.0,4797500.0,11086.6667,57441.0975,127.0667,0.0277,4,15
3.5,4190000.0,9800.0,39528.3,98.0,0.0281,1,1
4.0,9395151.4444,23477.7778,57457.7878,267.7233,0.03,18,9
5.0,12012000.0,24000.0,74847.524,110.6,0.024,5,7
