rooms,avg_sale_price,min_sale_price,max_sale_price,median_sale_price,count_sale
2.0,3272500.0,2450000.0,4150000.0,3245000.0,4
3.0,4797500.0,3700000.0,5300000.0,5095000.0,4
3.5,4190000.0,4190000.0,4190000.0,4190000.0,1
4.0,9395151.44,4100000.0,19000000.0,6800000.0,18
5.0,12012000.0,7320000.0,22000000.0,8150000.0,5
